client_id,full_name,phone,email,main_address,registration_date
1,Шарова Порфирий Матвеевна,8 (109) 324-80-86,tsvetkovvikenti@example.com,"с. Люберцы, бул. Абрикосовый, д. 8/8 стр. 97, 639821",2024-08-12
2,Елисеева Фаина Фёдорович,8 840 449 9727,svjatopolk_1993@example.com,"к. Калач-на-Дону, алл. Пархоменко, д. 16 стр. 8, 627028",2025-12-12
3,Фадеева Максимильян Бориславович,8 (187) 026-21-74,jaropolk_61@example.com,"клх Сузун, ул. Верхняя, д. 44 стр. 261, 240050",2024-09-07
4,Дементьев Мирон Феликсович,+7 (386) 922-21-96,sergesisoev@example.net,"с. Красноселькуп, наб. Зеленая, д. 5/9 к. 81, 946474",2024-04-14
5,Артемьева Нестор Харлампьевич,+7 369 594 40 64,vorontsovaalla@example.net,"ст. Кириши, ш. Есенина, д. 53 стр. 11, 709521",2024-09-10
6,Михеева Макар Фёдорович,+7 (328) 588-42-47,olga51@example.com,"ст. Кингисепп, бул. М.Горького, д. 2 стр. 1/5, 754965",2023-11-25
7,Абрамов Евдокия Харитонович,+7 985 931 7461,alinablohina@example.org,"г. Владимир, пер. Театральный, д. 8/6, 926179",2025-03-04
8,Голубев Климент Львовна,8 377 351 5850,mzhdanov@example.org,"клх Катав-Ивановск, бул. Колхозный, д. 353 стр. 91, 933529",2023-06-14
9,Гришина Кирилл Виленович,+7 (842) 102-05-39,agge_24@example.org,"д. Гагарин, ул. Металлургов, д. 6/9 стр. 478, 847007",2025-02-22
10,Афанасьева Парфен Борисович,8 (711) 592-12-49,lukija_1992@example.com,"д. Шенкурск, ул. Донская, д. 86 к. 66, 661565",2026-04-08
11,Дементьев Ираклий Витальевич,8 (111) 161-52-80,feliks_1992@example.net,"к. Ревда (Сверд.), ул. Высотная, д. 6 стр. 498, 731585",2023-12-05
12,Наумов София Борисовна,+7 (689) 980-9402,klavdija45@example.com,"ст. Дно, бул. Юности, д. 220 стр. 76, 525459",2025-12-22
13,Вишнякова Борислав Антипович,+7 (290) 147-67-97,nnekrasov@example.net,"с. Вытегра, бул. Станиславского, д. 1 к. 16, 343244",2024-10-31
14,Попов Виссарион Эдуардович,8 226 838 85 16,kudrjashovaakulina@example.com,"д. Рубцовск, пр. Марта 8, д. 2 стр. 1/6, 975161",2024-06-21
15,Медведева Поликарп Трифонович,8 (164) 535-2181,sokrat_1983@example.com,"п. Волхов, наб. Ивановская, д. 39, 277997",2026-05-03
16,Никифорова Феофан Евгеньевна,85527177449,kazakovapraskovja@example.org,"с. Ачинск, наб. Лунная, д. 919, 798079",2026-03-18
17,Носков Евгений Викторовна,8 (820) 715-18-20,porfiribikov@example.net,"к. Липецк, пр. Титова, д. 651 к. 586, 925192",2024-12-04
18,Кондратьева Леонид Ивановна,8 291 486 52 81,xvolkova@example.org,"п. Качканар, ш. Вахитова, д. 33 к. 51, 888059",2023-12-30
19,Ситников Эдуард Витальевич,+7 (292) 706-53-79,praskovja73@example.net,"ст. Соболево, наб. Гончарова, д. 5/7, 239240",2026-03-02
20,Мамонтова Светозар Марсович,8 (181) 412-4782,okorolev@example.com,"с. Белорецк, пер. Королева, д. 26 к. 4, 515220",2024-08-28
21,Аксенова Савва Яковлевна,+7 (779) 010-43-28,panfil_1977@example.com,"г. Барнаул, пр. Л.Толстого, д. 917, 893246",2023-06-12
22,Крюков Юрий Демидович,86218518888,adrian_1996@example.com,"к. Краснокамск, ул. 70 лет Октября, д. 253 стр. 3, 585277",2026-02-15
23,Юдина Добромысл Венедиктович,+7 704 303 05 48,ilapina@example.com,"ст. Калевала, наб. Коммунистическая, д. 5 к. 756, 652775",2025-08-24
24,Исаева Карл Архипович,8 169 284 51 15,lev79@example.net,"клх Сасово, пр. Западный, д. 7 к. 1, 658202",2026-01-08
25,Сафонова Евфросиния Феоктистович,+7 213 556 9092,moise1995@example.com,"д. Ноябрьск, наб. Медицинская, д. 11 к. 97, 814473",2026-01-15
26,Тихонова Конон Эдгардович,+7 (121) 727-1551,tit_1989@example.com,"ст. Новый Оскол, алл. Индустриальная, д. 42 стр. 1/6, 782911",2024-10-02
27,Рыбакова Никон Ниловна,8 (866) 912-51-77,mechislav_1978@example.net,"с. Тверь, ш. Свободное, д. 34, 535841",2024-07-03
28,Анисимова Евсей Афанасьевна,+72498182992,julijamolchanova@example.net,"ст. Арсеньев, ул. Кузнецкая, д. 79, 784473",2026-05-09
29,Кириллов Онуфрий Филиппович,+7 027 677 35 92,maja_55@example.com,"д. Учалы, наб. Тульская, д. 2/5, 321046",2026-01-20
30,Чернов Панкрат Владиленович,8 953 278 7747,tarasovamarfa@example.net,"п. Черкесск, ул. Березовая, д. 8 к. 5/9, 162456",2024-12-29
31,Брагин Аникита Антипович,88358416878,jaropolk91@example.org,"к. Невельск, наб. Средняя, д. 99 стр. 9/1, 025787",2024-01-27
32,Корнилова Эрнст Якубович,+7 (595) 269-49-58,tverdislav_2003@example.net,"ст. Анадырь, наб. Рябиновая, д. 5/1 к. 5/4, 972896",2024-01-25
33,Мартынов Екатерина Александрович,81307562636,fevronija_2011@example.com,"д. Каргополь, наб. Дружба, д. 6/3 стр. 9/6, 497334",2025-10-23
34,Савельев Лаврентий Ефимович,+73757584419,natan_1996@example.com,"г. Луховицы, ул. Новоселов, д. 5/8 стр. 93, 842199",2024-06-15
35,Комаров Илья Кузьминична,8 (330) 165-7120,gleb_1997@example.net,"клх Камышлов, наб. Февральская, д. 419 к. 326, 672400",2024-09-15
