order_id,client_id,restaurant_id,order_datetime,status,total_amount,payment_method,order_items,courier_name,delivery_assigned_time,delivery_actual_time,delivery_status,actual_delivery_address
1,950,1,2026-01-21 00:11:19,доставлен,238.8,ApplePay,"[{""dish_id"": 6, ""quantity"": 3, ""price_at_order"": 79.6}]",Зайцева Прохор,2026-01-21 00:21:19,2026-01-21 00:55:19,выполнен,
2,569,9,2026-01-07 17:14:01,готовится,442.1,СБП,"[{""dish_id"": 162, ""quantity"": 3, ""price_at_order"": 60.9}, {""dish_id"": 162, ""quantity"": 3, ""price_at_order"": 60.9}, {""dish_id"": 172, ""quantity"": 1, ""price_at_order"": 76.7}]",Владимирова Константин,2026-01-07 17:18:01,,в пути,
3,378,1,2026-05-01 22:47:55,принят,137.4,СБП,"[{""dish_id"": 5, ""quantity"": 3, ""price_at_order"": 26.4}, {""dish_id"": 7, ""quantity"": 1, ""price_at_order"": 58.2}]",Лазарева Ипат,2026-05-01 22:56:55,,в пути,
4,534,1,2026-03-13 14:27:06,отменён,768.3,GooglePay,"[{""dish_id"": 16, ""quantity"": 3, ""price_at_order"": 93.1}, {""dish_id"": 7, ""quantity"": 3, ""price_at_order"": 58.2}, {""dish_id"": 17, ""quantity"": 3, ""price_at_order"": 66.4}, {""dish_id"": 18, ""quantity"": 3, ""price_at_order"": 38.4}]",,,,,
5,403,6,2026-04-08 11:03:25,доставлен,249.6,Карта,"[{""dish_id"": 105, ""quantity"": 2, ""price_at_order"": 124.8}]",Воробьев Аггей,2026-04-08 11:09:25,2026-04-08 11:30:25,выполнен,
6,236,16,2026-03-15 17:23:59,принят,588.0,Карта,"[{""dish_id"": 314, ""quantity"": 2, ""price_at_order"": 145.7}, {""dish_id"": 321, ""quantity"": 2, ""price_at_order"": 125.0}, {""dish_id"": 323, ""quantity"": 1, ""price_at_order"": 46.6}]",Ильин Лора,2026-03-15 17:29:59,,назначен,
7,511,15,2026-02-03 06:00:46,доставлен,1430.8,GooglePay,"[{""dish_id"": 289, ""quantity"": 3, ""price_at_order"": 110.2}, {""dish_id"": 289, ""quantity"": 3, ""price_at_order"": 110.2}, {""dish_id"": 295, ""quantity"": 2, ""price_at_order"": 75.4}, {""dish_id"": 299, ""quantity"": 2, ""price_at_order"": 145.3}, {""dish_id"": 287, ""quantity"": 3, ""price_at_order"": 109.4}]",Мамонтова Максимильян,2026-02-03 06:02:46,2026-02-03 06:44:46,выполнен,
8,979,19,2026-06-01 06:01:41,отменён,460.1,Карта,"[{""dish_id"": 373, ""quantity"": 1, ""price_at_order"": 44.0}, {""dish_id"": 375, ""quantity"": 1, ""price_at_order"": 107.9}, {""dish_id"": 370, ""quantity"": 2, ""price_at_order"": 51.9}, {""dish_id"": 378, ""quantity"": 1, ""price_at_order"": 46.8}, {""dish_id"": 376, ""quantity"": 2, ""price_at_order"": 78.8}]",,,,,
9,402,9,2026-02-03 02:13:05,отменён,430.9,ApplePay,"[{""dish_id"": 162, ""quantity"": 3, ""price_at_order"": 60.9}, {""dish_id"": 174, ""quantity"": 2, ""price_at_order"": 124.1}]",,,,,
10,559,7,2026-03-30 10:19:52,доставлен,548.2,Карта,"[{""dish_id"": 133, ""quantity"": 2, ""price_at_order"": 129.1}, {""dish_id"": 128, ""quantity"": 2, ""price_at_order"": 99.8}, {""dish_id"": 130, ""quantity"": 2, ""price_at_order"": 45.2}]",Власова Нинель,2026-03-30 10:21:52,2026-03-30 11:21:52,выполнен,"к. Воскресенск, пр. Шахтерский, д. 69 к. 8/2, 559350"
11,714,4,2026-06-08 12:25:36,доставлен,1577.7,Наличные,"[{""dish_id"": 73, ""quantity"": 3, ""price_at_order"": 86.4}, {""dish_id"": 66, ""quantity"": 2, ""price_at_order"": 149.6}, {""dish_id"": 65, ""quantity"": 2, ""price_at_order"": 136.7}, {""dish_id"": 66, ""quantity"": 2, ""price_at_order"": 149.6}, {""dish_id"": 76, ""quantity"": 3, ""price_at_order"": 148.9}]",Ширяев Фёкла,2026-06-08 12:29:36,2026-06-08 12:55:36,выполнен,
12,487,16,2026-03-07 08:44:28,доставлен,807.0,GooglePay,"[{""dish_id"": 306, ""quantity"": 2, ""price_at_order"": 48.6}, {""dish_id"": 314, ""quantity"": 3, ""price_at_order"": 145.7}, {""dish_id"": 322, ""quantity"": 3, ""price_at_order"": 90.9}]",Самойлов Прокофий,2026-03-07 08:48:28,2026-03-07 09:14:28,выполнен,
13,32,15,2026-01-30 01:44:38,доставлен,913.5,Карта,"[{""dish_id"": 288, ""quantity"": 1, ""price_at_order"": 67.2}, {""dish_id"": 294, ""quantity"": 3, ""price_at_order"": 132.1}, {""dish_id"": 300, ""quantity"": 3, ""price_at_order"": 150.0}]",Дорофеева Наталья,2026-01-30 01:54:38,2026-01-30 02:58:38,выполнен,
14,758,14,2026-05-12 13:07:55,готовится,236.2,Наличные,"[{""dish_id"": 278, ""quantity"": 2, ""price_at_order"": 29.0}, {""dish_id"": 280, ""quantity"": 1, ""price_at_order"": 144.7}, {""dish_id"": 279, ""quantity"": 1, ""price_at_order"": 33.5}]",Волков Назар,2026-05-12 13:16:55,,назначен,
15,586,17,2026-02-06 09:03:31,доставлен,127.4,СБП,"[{""dish_id"": 341, ""quantity"": 1, ""price_at_order"": 38.2}, {""dish_id"": 336, ""quantity"": 2, ""price_at_order"": 44.6}]",Крылов Юлия,2026-02-06 09:06:31,2026-02-06 10:32:31,выполнен,
16,35,4,2026-01-08 23:25:55,готовится,390.9,Наличные,"[{""dish_id"": 71, ""quantity"": 3, ""price_at_order"": 130.3}]",Сазонова Фёкла,2026-01-08 23:29:55,,выполнен,
17,130,7,2026-01-08 14:56:41,доставлен,673.8,ApplePay,"[{""dish_id"": 127, ""quantity"": 3, ""price_at_order"": 112.3}, {""dish_id"": 127, ""quantity"": 3, ""price_at_order"": 112.3}]",Иванова Гедеон,2026-01-08 15:00:41,2026-01-08 16:12:41,выполнен,"к. Камень-на-Оби, наб. Нахимова, д. 234, 005455"
18,298,9,2026-03-27 19:23:14,готовится,343.4,ApplePay,"[{""dish_id"": 170, ""quantity"": 2, ""price_at_order"": 20.2}, {""dish_id"": 176, ""quantity"": 3, ""price_at_order"": 101.0}]",Трофимов Корнил,2026-03-27 19:32:14,,назначен,
19,108,14,2026-02-16 11:42:19,отменён,554.0,СБП,"[{""dish_id"": 280, ""quantity"": 1, ""price_at_order"": 144.7}, {""dish_id"": 269, ""quantity"": 2, ""price_at_order"": 117.8}, {""dish_id"": 279, ""quantity"": 3, ""price_at_order"": 33.5}, {""dish_id"": 282, ""quantity"": 3, ""price_at_order"": 24.4}]",,,,,
20,382,14,2026-02-13 04:34:17,доставлен,543.6,СБП,"[{""dish_id"": 274, ""quantity"": 2, ""price_at_order"": 142.6}, {""dish_id"": 270, ""quantity"": 1, ""price_at_order"": 35.5}, {""dish_id"": 275, ""quantity"": 1, ""price_at_order"": 31.4}, {""dish_id"": 281, ""quantity"": 3, ""price_at_order"": 49.0}, {""dish_id"": 272, ""quantity"": 1, ""price_at_order"": 44.5}]",Лаврентьева Михаил,2026-02-13 04:36:17,2026-02-13 05:55:17,выполнен,
21,632,2,2026-06-07 06:08:53,доставлен,369.0,ApplePay,"[{""dish_id"": 31, ""quantity"": 3, ""price_at_order"": 123.0}]",Беспалов Дорофей,2026-06-07 06:11:53,2026-06-07 06:38:53,выполнен,
22,212,20,2026-01-02 19:03:12,доставлен,691.4,GooglePay,"[{""dish_id"": 397, ""quantity"": 3, ""price_at_order"": 89.1}, {""dish_id"": 387, ""quantity"": 1, ""price_at_order"": 82.1}, {""dish_id"": 390, ""quantity"": 2, ""price_at_order"": 129.4}, {""dish_id"": 401, ""quantity"": 1, ""price_at_order"": 83.2}]",Якушев Федосий,2026-01-02 19:08:12,2026-01-02 20:07:12,выполнен,
23,804,5,2026-04-17 18:07:59,доставлен,230.0,Карта,"[{""dish_id"": 82, ""quantity"": 2, ""price_at_order"": 115.0}]",Котов Елизар,2026-04-17 18:12:59,2026-04-17 18:37:59,выполнен,
24,234,11,2026-02-20 08:04:17,готовится,526.8,GooglePay,"[{""dish_id"": 203, ""quantity"": 1, ""price_at_order"": 24.3}, {""dish_id"": 210, ""quantity"": 3, ""price_at_order"": 45.5}, {""dish_id"": 213, ""quantity"": 3, ""price_at_order"": 122.0}]",Костина Варвара,2026-02-20 08:08:17,,назначен,"с. Тимашевск, пер. Декабристов, д. 249, 860431"
25,56,9,2026-03-11 21:04:35,доставлен,438.7,Наличные,"[{""dish_id"": 160, ""quantity"": 3, ""price_at_order"": 101.3}, {""dish_id"": 167, ""quantity"": 2, ""price_at_order"": 67.4}]",Борисов Моисей,2026-03-11 21:06:35,2026-03-11 21:26:35,выполнен,
